ON,20140612,5.15
ON,20110127,45.6
MB,20140703,2.36
PE,20140327,43.11
NB,20140809,104.44
NS,20140501,61.67
AB,20140922,41.66
MB,20141228,18.32
ON,20140721,48.15
ON,20140312,14.38
QC,20141110,9.5
QC,20110111,91.31
AB,20140729,72.3
AB,20141109,113.12
MB,20140429,28.57
ON,20140406,39.32
NB,20141031,55.81
BC,20140429,18.02
ON,20141018,14.87
AB,20140206,86.66
BC,20140914,93.97
QC,20141122,17.63
ON,20140816,14.81
ON,20140916,88.02
ON,20140428,19.21
QC,20140417,40.56
MB,20141112,9.02
ON,20140729,106.1
AB,20140203,13.59
ON,20141109,22.71
SK,20140929,86.07
AB,20140828,73.19
ON,20141109,117.83
ON,20140929,8.14
BC,20141018,90.56
QC,20140324,58.97
ON,20140210,93.54
ON,20140822,40.3
SK,20140303,21.96
SK,20110129,60.68
ON,20140319,18.13
ON,20140323,119.61
BC,20140829,84.72
ON,20141024,107.01
ON,20141112,25.97
ON,20140302,104.17
AB,20110115,44.23
QC,20140829,23.1
QC,20140617,35.03
NS,20140902,92.39
QC,20141205,110.04
QC,20140607,42.23
AB,20141130,34.77
QC,20110116,69.61
QC,20140313,104.46
ON,20140405,47.97
ON,20140730,118.82
QC,20140423,25.06
QC,20140321,103.42
BC,20110125,31.35
BC,20140616,45.65
NB,20140719,71.71
QC,20141023,56.51
AB,20141116,68.32
AB,20141029,100.22
AB,20140417,87.94
AB,20140729,63.63
NB,20140829,6.0
ON,20140625,11.86
MB,20140412,48.72
MB,20140902,88.66
ON,20140912,9.59
MB,20140602,96.2
ON,20140726,3.24
NS,20140801,43.46
MB,20140410,47.29
MB,20140916,73.28
ON,20140326,26.72
AB,20140608,100.81
SK,20141121,76.72
ON,20140606,9.33
QC,20141102,26.02
QC,20140901,30.69
BC,20140415,63.97
QC,20140404,96.58
ON,20140213,12.25
QC,20140617,101.73
QC,20140301,95.47
QC,20110122,83.09
NS,20140807,7.48
ON,20140522,8.02
ON,20140816,92.75
SK,20140504,94.02
AB,20140319,49.14
ON,20141224,11.66
